,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
11,1975,Chainlink,LINK,chainlink,1915,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem']",,638099970.4527867,1000000000.0,False,,12,,,,2025-01-17T01:26:00.000Z,23.44017435915731,980907201.4741611,22.6143,0.7024091,7.67583783,18.84101078,-16.8558642,66.92927064,102.6547752,14957174565.986448,0.4247,23440174359.16,,2025-01-17T01:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-01-16 19:27:53.678052
12,512,Stellar,XLM,stellar,662,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season']",50001806812.0,30446796062.73889,50001786899.90058,False,,13,,,,2025-01-17T01:26:00.000Z,0.4846656147234675,1840543871.797789,-19.3601,0.23568656,3.01259027,24.56504449,10.598262,137.42243709,398.50938871,14756515130.107393,0.419,24234156435.82,,2025-01-17T01:26:00.000Z,,,,,,2025-01-16 19:27:53.678052
13,4642,Hedera,HBAR,hedera,307,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1']",50000000000.0,38261842932.85559,50000000000.0,False,,14,,,,2025-01-17T01:26:00.000Z,0.38524449416138645,2591618679.7024503,137.3109,4.10438575,22.91289274,43.17697851,32.26668418,290.14538604,637.32405926,14740164326.35037,0.4187,19262224708.07,,2025-01-17T01:26:00.000Z,,,,,,2025-01-16 19:27:53.678052
14,20947,Sui,SUI,sui,528,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025']",10000000000.0,3009569341.533888,10000000000.0,False,,15,3009569341.533888,14274017227.722755,,2025-01-17T01:26:00.000Z,4.742877005933252,1670191903.9237652,-9.2148,-0.05459625,0.45409126,-0.77153677,2.03368684,24.04444601,124.73029869,14274017227.722755,0.4054,47428770059.33,,2025-01-17T01:26:00.000Z,,,,,,2025-01-16 19:27:53.678052
0,1,Bitcoin,BTC,bitcoin,11868,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19811118.0,19811118.0,False,,1,,,,2025-01-17T01:27:00.000Z,100232.35816092395,51413878022.91257,-13.3927,0.10569046,0.34389188,7.98086176,-5.77383226,10.79984463,46.64723168,1985715074944.3274,56.4064,2104879521379.4,,2025-01-17T01:27:00.000Z,,,,,,2025-01-16 19:28:54.305992
1,1027,Ethereum,ETH,ethereum,9834,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'avalanche-ecosystem', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'bnb-chain-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120498073.2143359,120498073.2143359,True,,2,,,,2025-01-17T01:28:00.000Z,3336.064538547442,25304265067.926003,-5.5491,0.79630428,-1.87284836,3.42355243,-14.19666023,7.08643523,26.46126171,401989349013.6394,11.4189,401989349013.64,,2025-01-17T01:28:00.000Z,,,,,,2025-01-16 19:28:54.305992
2,52,XRP,XRP,xrp,1509,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem']",100000000000.0,57564441898.0,99986637553.0,False,,3,,,,2025-01-17T01:28:00.000Z,3.2698597874584805,24048916927.82198,-1.5606,0.31633465,7.99392669,44.21939619,26.83442908,202.73569514,498.4815688,188227653749.7603,5.3468,326985978745.85,,2025-01-17T01:28:00.000Z,,,,,,2025-01-16 19:28:54.305992
3,825,Tether USDt,USDT,tether,113187,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'heco-ecosystem', 'algorand-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'terra-ecosystem', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'zilliqa-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'cronos-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'xdc-ecosystem', 'everscale-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'klaytn-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'boba-network-ecosystem', 'fusion-network-ecosystem', 'hoo-smart-chain-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'cube-network-ecosystem', 'thundercore-ecosystem', 'redlight-chain-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'eos-evm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem', 'x-layer-ecosystem']",,137460714171.4841,141435444739.60068,True,,4,,,,2025-01-17T01:27:00.000Z,0.9998320673242144,116494788846.31972,-8.7038,-0.02122845,-0.02198422,-0.00567419,-0.02135886,-0.01788598,0.00315646,137437630025.93788,3.9041,141411693106.91,,2025-01-17T01:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-01-16 19:28:54.305992
4,5426,Solana,SOL,solana,823,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,486496782.1818733,592258662.355374,True,,5,,,,2025-01-17T01:28:00.000Z,212.33802026568384,6105296692.408175,44.135,0.99745268,4.40492891,13.93387108,-4.73767579,-11.29680386,37.26573694,103301763594.12459,2.9344,125759031849.74,,2025-01-17T01:28:00.000Z,,,,,,2025-01-16 19:28:54.305992
5,1839,BNB,BNB,bnb,2335,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144005900.82,144005900.82,False,,6,,,,2025-01-17T01:28:00.000Z,711.2010074677232,1881494534.05414,1.2533,0.15562027,-0.03311847,3.89656457,-1.19998351,13.87152321,18.54928515,102417141744.48102,2.9093,102417141744.48,,2025-01-17T01:28:00.000Z,,,,,,2025-01-16 19:28:54.305992
